n1	text	pos	n2	itext
361	hood	np0	179	NULL
801	greg	np0	179	NULL
377	houston	np0	179	NULL
491	ronnie	np0	179	NULL
500	moses	np0	179	NULL
377	page	np0	178	NULL
785	ferguson	np0	178	NULL
317	steel	np0	178	NULL
343	rich	np0	178	NULL
440	alps	np0	178	NULL
454	da	np0	178	NULL
318	dallas	np0	177	NULL
564	fiona	np0	177	NULL
527	gavin	np0	177	NULL
410	luton	np0	177	NULL
460	juan	np0	177	NULL
2267	mrs.	np0	177	NULL
546	antonio	np0	177	NULL
321	wight	np0	177	NULL
677	tate	np0	176	NULL
873	ukraine	np0	176	NULL
352	soho	np0	176	NULL
369	hyde	np0	176	NULL
500	mac	np0	176	NULL
612	danny	np0	176	NULL
989	ashley	np0	176	NULL
490	abraham	np0	176	NULL
413	percy	np0	176	NULL
510	rosemary	np0	175	NULL
276	scandinavia	np0	175	NULL
722	lanka	np0	175	NULL
708	jennifer	np0	175	NULL
476	gerard	np0	175	NULL
1608	hiv	np0	175	NULL
363	nobel	np0	175	NULL
351	matthews	np0	175	NULL
534	cohen	np0	175	NULL
481	constable	np0	175	NULL
655	dame	np0	174	NULL
468	cork	np0	174	NULL
379	warwickshire	np0	174	NULL
421	temple	np0	174	NULL
541	rev	np0	174	NULL
420	guinea	np0	174	NULL
366	kingston	np0	173	NULL
334	covent	np0	173	NULL
418	co.	np0	173	NULL
551	perth	np0	173	NULL
379	boots	np0	173	NULL
562	alpha	np0	173	NULL
558	pauline	np0	173	NULL
581	pearce	np0	173	NULL
340	melbourne	np0	173	NULL
347	todd	np0	172	NULL
384	stevenson	np0	172	NULL
399	tunnel	np0	172	NULL
474	hopkins	np0	172	NULL
524	fleming	np0	172	NULL
594	aston	np0	172	NULL
370	cyril	np0	172	NULL
560	sandra	np0	172	NULL
551	robson	np0	172	NULL
346	solomon	np0	171	NULL
387	strasbourg	np0	171	NULL
342	wolverhampton	np0	171	NULL
342	holdings	np0	171	NULL
345	hammersmith	np0	170	NULL
749	roman	np0	170	NULL
516	shrewsbury	np0	170	NULL
566	schools	np0	170	NULL
652	lambert	np0	170	NULL
400	parkinson	np0	170	NULL
542	colombia	np0	170	NULL
396	edwin	np0	170	NULL
339	berry	np0	170	NULL
375	broadway	np0	170	NULL
912	americas	np0	169	NULL
381	herald	np0	169	NULL
1906	emily	np0	169	NULL
517	philips	np0	169	NULL
584	delhi	np0	169	NULL
655	crystal	np0	169	NULL
395	doncaster	np0	169	NULL
377	cambridgeshire	np0	169	NULL
814	patten	np0	169	NULL
554	penny	np0	169	NULL
693	maureen	np0	169	NULL
379	fulham	np0	168	NULL
623	madonna	np0	168	NULL
401	davidson	np0	168	NULL
437	doug	np0	168	NULL
654	premier	np0	168	NULL
672	poole	np0	167	NULL
445	nottinghamshire	np0	167	NULL
385	mickey	np0	167	NULL
362	benson	np0	167	NULL
500	canon	np0	167	NULL
630	chamberlain	np0	167	NULL
532	willis	np0	167	NULL
309	laurence	np0	167	NULL
791	madame	np0	166	NULL
615	pc	np0	166	NULL
430	falklands	np0	166	NULL
431	peters	np0	166	NULL
354	row	np0	166	NULL
221	strong	np0	166	NULL
546	basil	np0	166	NULL
322	building	np0	166	NULL
417	commissioners	np0	166	NULL
625	curtis	np0	166	NULL
447	cruz	np0	165	NULL
435	clifford	np0	165	NULL
418	cardinal	np0	165	NULL
404	fowler	np0	165	NULL
332	gardner	np0	165	NULL
670	lang	np0	165	NULL
765	marcus	np0	165	NULL
1731	aunt	np0	165	NULL
381	sierra	np0	165	NULL
346	sidney	np0	164	NULL
510	hilton	np0	164	NULL
1316	gabriel	np0	164	NULL
790	evelyn	np0	164	NULL
355	fleet	np0	164	NULL
469	northamptonshire	np0	164	NULL
696	vic	np0	164	NULL
437	cottage	np0	163	NULL
356	palmer	np0	163	NULL
457	gillian	np0	163	NULL
454	harbour	np0	163	NULL
398	greene	np0	163	NULL
386	rodney	np0	162	NULL
356	lloyds	np0	162	NULL
521	marion	np0	162	NULL
509	morocco	np0	162	NULL
338	philadelphia	np0	161	NULL
950	villa	np0	161	NULL
