n1	text	pos	n2	itext
14832	european	aj0	1532	NULL
7207	blue	aj0	1528	NULL
5004	deep	aj0	1527	NULL
22936	economic	aj0	1526	NULL
5278	perfect	aj0	1519	NULL
4685	broad	aj0	1518	NULL
4241	unique	aj0	1517	NULL
3867	enormous	aj0	1516	NULL
4593	typical	aj0	1509	NULL
5012	correct	aj0	1502	NULL
5630	detailed	aj0	1492	NULL
4693	wider	ajc	1491	NULL
3855	slow	aj0	1487	NULL
6540	internal	aj0	1484	NULL
3428	sharp	aj0	1465	NULL
4270	busy	aj0	1460	NULL
3800	quick	aj0	1458	NULL
4812	younger	ajc	1458	NULL
7610	relevant	aj0	1457	NULL
11207	industrial	aj0	1457	NULL
6480	domestic	aj0	1454	NULL
3899	highest	ajs	1454	NULL
3342	surprising	aj0	1454	NULL
11543	prime	aj0	1453	NULL
3615	willing	aj0	1450	NULL
4044	minor	aj0	1447	NULL
5876	soft	aj0	1446	NULL
5544	critical	aj0	1438	NULL
5937	strange	aj0	1436	NULL
5183	bright	aj0	1427	NULL
5235	upper	aj0	1425	NULL
3727	dramatic	aj0	1423	NULL
7947	beautiful	aj0	1423	NULL
8957	medical	aj0	1422	NULL
4285	leading	aj0	1414	NULL
3737	valuable	aj0	1414	NULL
4830	quiet	aj0	1414	NULL
3033	used	aj0	1411	NULL
3806	remaining	aj0	1409	NULL
5801	joint	aj0	1403	NULL
3395	keen	aj0	1402	NULL
5805	warm	aj0	1400	NULL
4328	crucial	aj0	1393	NULL
4458	severe	aj0	1392	NULL
5079	tiny	aj0	1388	NULL
3989	alive	aj0	1386	NULL
3116	easier	ajc	1386	NULL
8375	civil	aj0	1378	NULL
4019	extensive	aj0	1372	NULL
5051	empty	aj0	1370	NULL
3818	friendly	aj0	1365	NULL
7737	french	aj0	1362	NULL
4564	potential	aj0	1362	NULL
5609	top	aj0	1358	NULL
4025	massive	aj0	1350	NULL
4249	subsequent	aj0	1347	NULL
3426	weak	aj0	1343	NULL
5472	cold	aj0	1341	NULL
3504	sensitive	aj0	1333	NULL
3214	genuine	aj0	1330	NULL
3412	acceptable	aj0	1321	NULL
4277	unknown	aj0	1321	NULL
4888	dry	aj0	1318	NULL
3673	living	aj0	1318	NULL
7100	western	aj0	1317	NULL
4834	thin	aj0	1317	NULL
3621	clean	aj0	1308	NULL
6449	nice	aj0	1297	NULL
3443	remarkable	aj0	1289	NULL
4238	initial	aj0	1285	NULL
3685	odd	aj0	1284	NULL
4281	biggest	ajs	1282	NULL
3269	daily	aj0	1281	NULL
3785	efficient	aj0	1277	NULL
3015	confident	aj0	1274	NULL
5492	senior	aj0	1272	NULL
3700	comfortable	aj0	1268	NULL
3845	sudden	aj0	1266	NULL
2707	inevitable	aj0	1262	NULL
2493	stronger	ajc	1260	NULL
3622	temporary	aj0	1257	NULL
3434	adequate	aj0	1254	NULL
2974	anxious	aj0	1253	NULL
3842	double	aj0	1249	NULL
3248	pure	aj0	1248	NULL
2962	extreme	aj0	1247	NULL
4597	official	aj0	1244	NULL
3153	numerous	aj0	1242	NULL
2595	opposite	aj0	1241	NULL
3028	exciting	aj0	1240	NULL
3885	green	aj0	1239	NULL
5193	key	aj0	1238	NULL
6462	dark	aj0	1237	NULL
3161	absolute	aj0	1234	NULL
3523	light	aj0	1228	NULL
4480	wild	aj0	1228	NULL
3367	rapid	aj0	1224	NULL
3005	rough	aj0	1224	NULL
3408	healthy	aj0	1213	NULL
4815	ancient	aj0	1213	NULL
2219	closer	ajc	1213	NULL
3717	golden	aj0	1211	NULL
2801	precise	aj0	1211	NULL
2547	occasional	aj0	1210	NULL
2766	accurate	aj0	1207	NULL
5359	afraid	aj0	1206	NULL
3085	solid	aj0	1205	NULL
3849	conventional	aj0	1204	NULL
4732	standard	aj0	1199	NULL
4291	chief	aj0	1191	NULL
2774	remote	aj0	1185	NULL
4261	inner	aj0	1185	NULL
4349	fundamental	aj0	1179	NULL
4327	tall	aj0	1176	NULL
3417	lucky	aj0	1175	NULL
4021	long-term	aj0	1174	NULL
2899	visible	aj0	1174	NULL
3142	distinct	aj0	1173	NULL
2898	proud	aj0	1165	NULL
2664	slight	aj0	1163	NULL
3513	alternative	aj0	1155	NULL
4195	wonderful	aj0	1155	NULL
9500	scottish	aj0	1153	NULL
3907	average	aj0	1151	NULL
3313	comprehensive	aj0	1150	NULL
5605	mental	aj0	1149	NULL
6711	regional	aj0	1146	NULL
2434	sensible	aj0	1142	NULL
2765	bigger	ajc	1140	NULL
6253	religious	aj0	1138	NULL
4061	increased	aj0	1136	NULL
2857	distant	aj0	1135	NULL
2871	impressive	aj0	1134	NULL
5664	scientific	aj0	1133	NULL
3735	silent	aj0	1131	NULL
4123	grey	aj0	1129	NULL
3950	guilty	aj0	1128	NULL
2822	conscious	aj0	1123	NULL
2371	sophisticated	aj0	1121	NULL
10819	military	aj0	1121	NULL
6968	sorry	aj0	1120	NULL
4831	external	aj0	1118	NULL
3921	relative	aj0	1116	NULL
2729	alone	aj0	1114	NULL
5329	historical	aj0	1112	NULL
2664	false	aj0	1111	NULL
2727	isolated	aj0	1109	NULL
3568	overall	aj0	1106	NULL
2765	grand	aj0	1105	NULL
2809	helpful	aj0	1104	NULL
2303	intense	aj0	1103	NULL
3072	sad	aj0	1102	NULL
2977	surprised	aj0	1096	NULL
2424	ultimate	aj0	1095	NULL
2618	so-called	aj0	1095	NULL
2321	frequent	aj0	1094	NULL
3749	terrible	aj0	1091	NULL
2873	outstanding	aj0	1088	NULL
