n1	text	pos	n2	itext
33769	london	np0	2433	NULL
30111	john	np0	2160	NULL
22558	england	np0	2059	NULL
24290	britain	np0	1942	NULL
17499	europe	np0	1893	NULL
14701	may	np0	1814	NULL
13198	west	np0	1754	NULL
13945	june	np0	1750	NULL
46519	mr	np0	1749	NULL
13392	south	np0	1729	NULL
11072	north	np0	1686	NULL
10240	october	np0	1680	NULL
11536	east	np0	1677	NULL
14241	april	np0	1676	NULL
9932	september	np0	1652	NULL
9745	america	np0	1619	NULL
14285	david	np0	1600	NULL
11914	france	np0	1588	NULL
11498	july	np0	1576	NULL
11373	peter	np0	1567	NULL
9001	november	np0	1556	NULL
9472	house	np0	1549	NULL
9741	january	np0	1548	NULL
10295	new	np0	1526	NULL
11827	st	np0	1516	NULL
11123	march	np0	1507	NULL
8999	december	np0	1475	NULL
9508	james	np0	1465	NULL
7627	august	np0	1459	NULL
10502	george	np0	1451	NULL
17312	uk	np0	1443	NULL
7949	february	np0	1437	NULL
12593	scotland	np0	1436	NULL
7875	sunday	np0	1425	NULL
10246	germany	np0	1417	NULL
9348	street	np0	1410	NULL
8313	york	np0	1394	NULL
12867	united	np0	1393	NULL
11978	sir	np0	1367	NULL
18284	mrs	np0	1356	NULL
10194	paul	np0	1356	NULL
10284	de	np0	1356	NULL
10548	lord	np0	1354	NULL
7491	robert	np0	1323	NULL
8797	wales	np0	1303	NULL
7136	university	np0	1295	NULL
8610	michael	np0	1294	NULL
9190	richard	np0	1284	NULL
7763	states	np0	1263	NULL
10975	dr	np0	1253	NULL
13429	god	np0	1241	NULL
8179	william	np0	1232	NULL
7565	smith	np0	1224	NULL
15774	us	np0	1195	NULL
6788	saturday	np0	1190	NULL
9313	ireland	np0	1189	NULL
8913	charles	np0	1144	NULL
3979	friday	np0	1143	NULL
6003	paris	np0	1142	NULL
7554	africa	np0	1142	NULL
6590	mary	np0	1137	NULL
5091	general	np0	1136	NULL
5289	king	np0	1122	NULL
6542	thomas	np0	1121	NULL
5078	city	np0	1095	NULL
4762	australia	np0	1072	NULL
4926	italy	np0	1069	NULL
5560	park	np0	1061	NULL
4776	martin	np0	1051	NULL
7598	oxford	np0	1050	NULL
3934	monday	np0	1045	NULL
7402	road	np0	1045	NULL
6010	northern	np0	1040	NULL
3684	times	np0	1018	NULL
3317	white	np0	981	NULL
4502	hall	np0	981	NULL
3827	brown	np0	966	NULL
4447	jones	np0	940	NULL
4315	spain	np0	933	NULL
3378	hill	np0	929	NULL
4692	manchester	np0	927	NULL
5867	japan	np0	924	NULL
3907	college	np0	922	NULL
4587	india	np0	916	NULL
4584	tom	np0	905	NULL
6108	henry	np0	904	NULL
4734	alan	np0	896	NULL
4043	andrew	np0	894	NULL
2833	canada	np0	883	NULL
3464	cambridge	np0	880	NULL
4232	bill	np0	878	NULL
2695	young	np0	878	NULL
3001	black	np0	866	NULL
5002	usa	np0	857	NULL
4627	christmas	np0	857	NULL
6736	edward	np0	855	NULL
4431	court	np0	853	NULL
8156	miss	np0	853	NULL
2925	green	np0	845	NULL
2966	queen	np0	844	NULL
5229	mark	np0	842	NULL
5763	edinburgh	np0	829	NULL
4896	ian	np0	825	NULL
2278	good	np0	822	NULL
3424	wednesday	np0	820	NULL
3074	birmingham	np0	819	NULL
3331	margaret	np0	818	NULL
2804	thursday	np0	815	NULL
2702	tuesday	np0	813	NULL
3632	bank	np0	808	NULL
3611	yorkshire	np0	796	NULL
4079	bbc	np0	791	NULL
2444	western	np0	790	NULL
4673	stephen	np0	788	NULL
3805	wilson	np0	784	NULL
3901	simon	np0	776	NULL
3977	brian	np0	769	NULL
4623	jack	np0	767	NULL
3528	taylor	np0	762	NULL
4377	tony	np0	758	NULL
3271	frank	np0	752	NULL
5191	liverpool	np0	741	NULL
2379	roger	np0	737	NULL
2562	arthur	np0	734	NULL
4173	j.	np0	726	NULL
3712	jim	np0	720	NULL
4020	glasgow	np0	718	NULL
2125	california	np0	713	NULL
2433	victoria	np0	706	NULL
3314	rome	np0	705	NULL
3131	williams	np0	704	NULL
3807	philip	np0	703	NULL
3053	professor	np0	702	NULL
2726	bristol	np0	699	NULL
2692	a.	np0	699	NULL
3679	bob	np0	699	NULL
3730	chris	np0	693	NULL
3967	graham	np0	693	NULL
2905	joseph	np0	689	NULL
3463	china	np0	689	NULL
4157	russia	np0	687	NULL
2508	kent	np0	686	NULL
2245	sea	np0	684	NULL
4027	christ	np0	683	NULL
3449	elizabeth	np0	683	NULL
3240	washington	np0	679	NULL
1319	i.	np0	675	NULL
2230	anthony	np0	668	NULL
3095	johnson	np0	662	NULL
2194	river	np0	659	NULL
2958	scott	np0	657	NULL
4714	major	np0	652	NULL
2476	la	np0	651	NULL
3646	jane	np0	650	NULL
3750	mike	np0	649	NULL
2004	westminster	np0	649	NULL
2402	gordon	np0	648	NULL
5966	president	np0	648	NULL
1760	square	np0	647	NULL
1776	cross	np0	644	NULL
2129	c.	np0	644	NULL
1809	great	np0	640	NULL
3576	lewis	np0	638	NULL
4172	anne	np0	633	NULL
2846	patrick	np0	632	NULL
2360	san	np0	629	NULL
1945	christopher	np0	626	NULL
2196	norman	np0	624	NULL
2940	co	np0	623	NULL
1475	switzerland	np0	622	NULL
2975	lady	np0	620	NULL
4414	harry	np0	619	NULL
1518	man	np0	619	NULL
1681	little	np0	613	NULL
1852	b.	np0	610	NULL
2607	castle	np0	606	NULL
2577	zealand	np0	602	NULL
3026	asia	np0	599	NULL
2451	francis	np0	599	NULL
2501	alexander	np0	598	NULL
2541	county	np0	594	NULL
1634	end	np0	591	NULL
1730	thames	np0	590	NULL
2102	van	np0	590	NULL
2209	lane	np0	589	NULL
2641	keith	np0	583	NULL
1821	bridge	np0	583	NULL
2413	prince	np0	583	NULL
4099	union	np0	582	NULL
1631	sweden	np0	581	NULL
2227	grand	np0	581	NULL
2095	albert	np0	580	NULL
2466	jean	np0	578	NULL
1648	eastern	np0	575	NULL
3349	lee	np0	573	NULL
4199	leeds	np0	573	NULL
4008	joe	np0	572	NULL
1598	bernard	np0	572	NULL
2569	howard	np0	570	NULL
2127	colin	np0	569	NULL
2265	douglas	np0	568	NULL
3835	steve	np0	568	NULL
1316	belgium	np0	559	NULL
1891	russell	np0	558	NULL
1505	midlands	np0	556	NULL
2374	nicholas	np0	555	NULL
1834	walker	np0	551	NULL
1208	holland	np0	551	NULL
1801	day	np0	549	NULL
1784	wood	np0	549	NULL
1870	harris	np0	548	NULL
1989	davies	np0	548	NULL
2085	louis	np0	547	NULL
1684	e.	np0	545	NULL
1673	valley	np0	542	NULL
1823	le	np0	541	NULL
2697	berlin	np0	541	NULL
1655	robin	np0	540	NULL
3219	nigel	np0	540	NULL
1795	district	np0	539	NULL
1818	walter	np0	536	NULL
2771	kong	np0	535	NULL
3131	thatcher	np0	534	NULL
1429	will	np0	533	NULL
1185	news	np0	530	NULL
3375	adam	np0	529	NULL
2597	lords	np0	529	NULL
1821	daily	np0	528	NULL
2106	des	np0	525	NULL
2684	ken	np0	525	NULL
1719	h.	np0	524	NULL
2706	neil	np0	522	NULL
1683	morris	np0	520	NULL
1627	roy	np0	520	NULL
2916	tim	np0	519	NULL
1861	sussex	np0	519	NULL
1567	surrey	np0	518	NULL
1948	r.	np0	518	NULL
1707	greece	np0	517	NULL
2049	sheffield	np0	516	NULL
2170	essex	np0	515	NULL
2966	moscow	np0	514	NULL
2127	palace	np0	512	NULL
1778	eric	np0	512	NULL
1665	ford	np0	510	NULL
1961	m.	np0	510	NULL
2261	lloyd	np0	510	NULL
1955	hugh	np0	509	NULL
1307	island	np0	507	NULL
1729	allen	np0	507	NULL
1749	town	np0	505	NULL
1680	malcolm	np0	505	NULL
2541	newcastle	np0	504	NULL
1308	denmark	np0	504	NULL
2678	hong	np0	504	NULL
2152	justice	np0	500	NULL
2002	lawrence	np0	496	NULL
1739	independent	np0	496	NULL
2125	terry	np0	496	NULL
1924	b	np0	494	NULL
3899	soviet	np0	489	NULL
2775	ben	np0	488	NULL
1600	lake	np0	488	NULL
1707	captain	np0	488	NULL
1483	d.	np0	487	NULL
2069	middle	np0	486	NULL
2037	poland	np0	485	NULL
1483	g.	np0	485	NULL
1888	moore	np0	484	NULL
5867	ec	np0	484	NULL
1852	s.	np0	484	NULL
1320	bell	np0	483	NULL
1299	stanley	np0	480	NULL
1607	mexico	np0	479	NULL
1596	derek	np0	479	NULL
1808	commons	np0	477	NULL
2359	pacific	np0	477	NULL
2246	dublin	np0	476	NULL
1804	stuart	np0	475	NULL
1486	kenneth	np0	475	NULL
1377	brussels	np0	474	NULL
1722	barry	np0	473	NULL
1648	jackson	np0	471	NULL
2148	egypt	np0	470	NULL
1804	clarke	np0	470	NULL
1433	netherlands	np0	470	NULL
1569	nottingham	np0	470	NULL
2975	jesus	np0	468	NULL
1400	centre	np0	468	NULL
1509	chief	np0	468	NULL
1863	ross	np0	468	NULL
1798	evans	np0	467	NULL
1614	w.	np0	467	NULL
1157	who	np0	466	NULL
1716	baker	np0	465	NULL
1717	c	np0	465	NULL
1446	norway	np0	461	NULL
1970	forest	np0	461	NULL
1296	robinson	np0	460	NULL
1975	stewart	np0	460	NULL
