n1	text	pos	n2	itext
123686	more	av0	3091	NULL
119113	also	av0	3091	NULL
105411	only	av0	3086	NULL
108301	now	av0	3077	NULL
129196	out	avp	3075	NULL
108593	so	av0	3050	NULL
127430	up	avp	3040	NULL
124501	then	av0	3017	NULL
87705	as	av0	2999	NULL
52979	most	av0	2981	NULL
86823	very	av0	2976	NULL
63992	still	av0	2959	NULL
81957	how	avq	2949	NULL
85826	just	av0	2942	NULL
51796	much	av0	2920	NULL
66199	even	av0	2911	NULL
43521	well	av0	2902	NULL
63637	too	av0	2886	NULL
56472	however	av0	2854	NULL
62938	down	avp	2850	NULL
31527	already	av0	2839	NULL
63738	back	avp	2817	NULL
54099	there	av0	2807	NULL
26126	both	av0	2807	NULL
47551	again	av0	2783	NULL
36495	on	avp	2769	NULL
30469	yet	av0	2734	NULL
40030	always	av0	2723	NULL
52934	here	av0	2708	NULL
28534	later	av0	2706	NULL
34414	about	av0	2697	NULL
48635	never	av0	2688	NULL
24010	at_least	av0	2685	NULL
21453	over	av0	2681	NULL
30360	almost	av0	2672	NULL
22392	together	av0	2671	NULL
19022	further	av0	2661	NULL
27140	in	avp	2655	NULL
26814	all	av0	2643	NULL
20297	far	av0	2639	NULL
23673	less	av0	2629	NULL
35821	often	av0	2619	NULL
39328	why	avq	2604	NULL
30432	perhaps	av0	2567	NULL
30281	quite	av0	2562	NULL
20413	particularly	av0	2552	NULL
23040	ever	av0	2528	NULL
28788	off	avp	2517	NULL
22950	enough	av0	2508	NULL
21237	probably	av0	2505	NULL
25331	of_course	av0	2479	NULL
13731	either	av0	2468	NULL
20554	today	av0	2461	NULL
16743	simply	av0	2433	NULL
15236	once	av0	2426	NULL
30149	really	av0	2410	NULL
15046	soon	av0	2399	NULL
17282	over	avp	2380	NULL
16779	especially	av0	2371	NULL
15542	certainly	av0	2367	NULL
12518	finally	av0	2363	NULL
17121	ago	av0	2356	NULL
11629	recently	av0	2344	NULL
18179	where	avq	2344	NULL
17138	indeed	av0	2343	NULL
19167	rather	av0	2341	NULL
13409	long	av0	2330	NULL
14236	clearly	av0	2326	NULL
18456	sometimes	av0	2318	NULL
13138	better	av0	2310	NULL
19005	when	avq	2295	NULL
13139	actually	av0	2272	NULL
17652	usually	av0	2246	NULL
8501	fully	av0	2220	NULL
11463	quickly	av0	2207	NULL
9200	immediately	av0	2201	NULL
10169	nearly	av0	2198	NULL
21637	therefore	av0	2184	NULL
8433	best	av0	2177	NULL
15993	else	av0	2176	NULL
8528	no_longer	av0	2171	NULL
12463	at_all	av0	2168	NULL
12336	in_order	av0	2157	NULL
9369	easily	av0	2154	NULL
9982	forward	av0	2136	NULL
8926	earlier	av0	2111	NULL
7890	otherwise	av0	2106	NULL
15734	home	av0	2105	NULL
8853	highly	av0	2082	NULL
7778	completely	av0	2055	NULL
8494	directly	av0	2053	NULL
8529	eventually	av0	2049	NULL
7032	little	av0	2030	NULL
22728	for_example	av0	2021	NULL
10223	above	av0	2019	NULL
7204	instead	av0	1997	NULL
8061	about	avp	1994	NULL
6691	early	av0	1982	NULL
10922	generally	av0	1979	NULL
20404	thus	av0	1976	NULL
8285	around	av0	1965	NULL
8639	exactly	av0	1956	NULL
6301	possibly	av0	1951	NULL
8401	below	av0	1932	NULL
9633	right	av0	1923	NULL
13393	away	av0	1921	NULL
6321	equally	av0	1918	NULL
6474	entirely	av0	1907	NULL
8092	slightly	av0	1880	NULL
7943	obviously	av0	1868	NULL
6949	apparently	av0	1853	NULL
6470	as_well	av0	1844	NULL
6852	carefully	av0	1838	NULL
8326	hardly	av0	1832	NULL
5358	closely	av0	1830	NULL
6668	mainly	av0	1827	NULL
6653	previously	av0	1818	NULL
20210	away	avp	1814	NULL
5606	twice	av0	1811	NULL
6331	extremely	av0	1811	NULL
5260	seriously	av0	1791	NULL
7104	normally	av0	1788	NULL
7409	merely	av0	1764	NULL
5048	neither	av0	1757	NULL
5420	elsewhere	av0	1751	NULL
6436	in_particular	av0	1746	NULL
7214	largely	av0	1713	NULL
6493	increasingly	av0	1709	NULL
10002	more_than	av0	1706	NULL
5970	to	avp	1700	NULL
8331	around	avp	1687	NULL
4911	properly	av0	1685	NULL
7861	a_little	av0	1673	NULL
6024	hard	av0	1654	NULL
5519	fairly	av0	1654	NULL
5815	ahead	av0	1646	NULL
5128	no_doubt	av0	1637	NULL
3971	heavily	av0	1630	NULL
11323	suddenly	av0	1625	NULL
7630	relatively	av0	1623	NULL
5527	widely	av0	1616	NULL
6967	nevertheless	av0	1615	NULL
4612	at_first	av0	1605	NULL
4997	totally	av0	1604	NULL
5079	before	av0	1603	NULL
4375	strongly	av0	1601	NULL
4668	through	avp	1600	NULL
5455	partly	av0	1592	NULL
4322	under	av0	1577	NULL
7694	slowly	av0	1567	NULL
4174	originally	av0	1559	NULL
6767	currently	av0	1558	NULL
5687	frequently	av0	1557	NULL
7449	round	avp	1551	NULL
4696	effectively	av0	1547	NULL
4098	virtually	av0	1533	NULL
4057	unfortunately	av0	1515	NULL
4064	badly	av0	1513	NULL
4423	rapidly	av0	1505	NULL
5043	necessarily	av0	1500	NULL
3997	naturally	av0	1500	NULL
4461	somewhat	av0	1491	NULL
3893	firmly	av0	1489	NULL
4098	rarely	av0	1483	NULL
4096	perfectly	av0	1482	NULL
5709	surely	av0	1474	NULL
3707	regularly	av0	1472	NULL
4074	afterwards	av0	1461	NULL
3728	late	av0	1460	NULL
3689	close	av0	1448	NULL
3642	shortly	av0	1443	NULL
3655	mostly	av0	1431	NULL
5233	somewhere	av0	1431	NULL
6789	for_instance	av0	1425	NULL
3284	anywhere	av0	1413	NULL
3723	occasionally	av0	1406	NULL
9281	please	av0	1404	NULL
3464	gradually	av0	1399	NULL
3664	deeply	av0	1397	NULL
3477	aside	av0	1387	NULL
4726	meanwhile	av0	1373	NULL
3278	successfully	av0	1373	NULL
5076	straight	av0	1369	NULL
4107	along	avp	1367	NULL
3887	absolutely	av0	1356	NULL
7011	anyway	av0	1356	NULL
3628	initially	av0	1352	NULL
3318	apart	av0	1349	NULL
4431	similarly	av0	1345	NULL
3259	greatly	av0	1342	NULL
3013	truly	av0	1339	NULL
3402	once_again	av0	1326	NULL
3502	specifically	av0	1326	NULL
3363	outside	av0	1325	NULL
2892	altogether	av0	1320	NULL
2894	whenever	avq	1311	NULL
2926	constantly	av0	1309	NULL
4394	in_addition	av0	1295	NULL
7351	maybe	av0	1291	NULL
2538	surprisingly	av0	1278	NULL
3890	in_general	av0	1274	NULL
4134	inside	av0	1270	NULL
3741	abroad	av0	1263	NULL
4157	somehow	av0	1263	NULL
3005	briefly	av0	1257	NULL
3007	inevitably	av0	1249	NULL
2674	newly	av0	1247	NULL
3096	however	avq	1239	NULL
2827	that	av0	1235	NULL
4714	hence	av0	1235	NULL
2886	fast	av0	1234	NULL
4326	at_last	av0	1234	NULL
2782	everywhere	av0	1233	NULL
6820	tomorrow	av0	1230	NULL
3314	precisely	av0	1212	NULL
2565	behind	av0	1207	NULL
2173	since	av0	1199	NULL
2800	considerably	av0	1187	NULL
3581	subsequently	av0	1184	NULL
2666	deliberately	av0	1181	NULL
2301	near	av0	1162	NULL
2806	reasonably	av0	1155	NULL
3014	primarily	av0	1153	NULL
3927	at_once	av0	1150	NULL
2828	at_present	av0	1148	NULL
2485	sufficiently	av0	1146	NULL
1953	wherever	avq	1144	NULL
4057	significantly	av0	1143	NULL
2019	easier	av0	1129	NULL
2622	automatically	av0	1125	NULL
2739	ultimately	av0	1123	NULL
3339	essentially	av0	1122	NULL
17619	yesterday	av0	1121	NULL
2132	longer	av0	1121	NULL
2027	alone	av0	1120	NULL
2550	deep	av0	1115	NULL
4002	and_so_on	av0	1115	NULL
2744	readily	av0	1107	NULL
2780	presumably	av0	1106	NULL
4973	etc	av0	1104	NULL
4084	that_is	av0	1102	NULL
2254	personally	av0	1094	NULL
1885	strictly	av0	1090	NULL
2348	purely	av0	1083	NULL
4014	quietly	av0	1077	NULL
2111	nowhere	av0	1070	NULL
2314	undoubtedly	av0	1069	NULL
1985	thoroughly	av0	1056	NULL
2318	potentially	av0	1053	NULL
2767	less_than	av0	1051	NULL
2235	closer	av0	1045	NULL
3122	pretty	av0	1021	NULL
2434	sharply	av0	1021	NULL
2054	roughly	av0	1014	NULL
3190	respectively	av0	1012	NULL
4315	moreover	av0	1007	NULL
2864	across	av0	992	NULL
3950	gently	av0	990	NULL
2207	definitely	av0	989	NULL
1839	specially	av0	982	NULL
2612	thereby	av0	981	NULL
2258	barely	av0	977	NULL
1733	literally	av0	965	NULL
1950	traditionally	av0	963	NULL
2687	approximately	av0	959	NULL
1842	physically	av0	949	NULL
2047	by_now	av0	948	NULL
1674	safely	av0	939	NULL
2231	accordingly	av0	936	NULL
1667	exclusively	av0	935	NULL
2195	wholly	av0	935	NULL
2403	consequently	av0	931	NULL
2355	notably	av0	927	NULL
1574	all_but	av0	923	NULL
1830	sadly	av0	922	NULL
1707	severely	av0	915	NULL
1534	freely	av0	914	NULL
2274	once_more	av0	902	NULL
1794	correctly	av0	895	NULL
1662	sooner	av0	891	NULL
1613	solely	av0	889	NULL
1694	happily	av0	889	NULL
1666	separately	av0	885	NULL
2005	formally	av0	884	NULL
1656	steadily	av0	879	NULL
2608	secondly	av0	877	NULL
1744	simultaneously	av0	874	NULL
1735	officially	av0	865	NULL
1579	past	av0	862	NULL
2515	commonly	av0	859	NULL
1437	dramatically	av0	859	NULL
1324	for_long	av0	858	NULL
1456	remarkably	av0	848	NULL
1368	as_yet	av0	845	NULL
1580	consistently	av0	841	NULL
1727	basically	av0	840	NULL
1370	no	av0	836	NULL
1399	differently	av0	836	NULL
1485	fortunately	av0	835	NULL
2888	furthermore	av0	833	NULL
1345	far_from	av0	828	NULL
1594	by_no_means	av0	827	NULL
1744	formerly	av0	824	NULL
5013	tonight	av0	820	NULL
2075	typically	av0	817	NULL
1611	from_time_to_time	av0	816	NULL
1870	desperately	av0	805	NULL
1813	whereby	avq	804	NULL
1439	actively	av0	802	NULL
1262	temporarily	av0	795	NULL
1333	genuinely	av0	792	NULL
1273	positively	av0	790	NULL
1684	forever	av0	789	NULL
4520	i.e.	av0	789	NULL
1649	substantially	av0	781	NULL
1455	regardless	av0	772	NULL
1250	importantly	av0	771	NULL
1500	invariably	av0	768	NULL
1537	broadly	av0	767	NULL
5103	all_right	av0	767	NULL
1687	so_as	av0	766	NULL
2707	o'clock	av0	766	NULL
1921	lightly	av0	765	NULL
1922	though	av0	763	NULL
1629	locally	av0	763	NULL
1360	nowadays	av0	759	NULL
2085	namely	av0	759	NULL
1692	alternatively	av0	758	NULL
1545	upwards	av0	756	NULL
1299	as_usual	av0	756	NULL
1719	besides	av0	754	NULL
1557	instantly	av0	753	NULL
1194	permanently	av0	750	NULL
1363	accurately	av0	749	NULL
1275	partially	av0	746	NULL
1391	even_so	av0	743	NULL
1591	backwards	av0	739	NULL
1526	publicly	av0	736	NULL
1272	continually	av0	735	NULL
2978	a_bit	av0	732	NULL
1354	independently	av0	730	NULL
2393	etc.	av0	728	NULL
1207	seemingly	av0	728	NULL
