n1	text	pos	n2	itext
622	implied	aj0	203	NULL
296	animated	aj0	203	NULL
281	converted	aj0	202	NULL
261	courteous	aj0	202	NULL
382	blond	aj0	202	NULL
276	untrue	aj0	202	NULL
293	soothing	aj0	202	NULL
396	subordinate	aj0	202	NULL
279	leisurely	aj0	202	NULL
556	listed	aj0	202	NULL
248	impeccable	aj0	202	NULL
234	inflexible	aj0	202	NULL
253	exemplary	aj0	202	NULL
386	erotic	aj0	201	NULL
323	imperfect	aj0	201	NULL
268	grasping	aj0	201	NULL
289	darkened	aj0	201	NULL
267	deserving	aj0	201	NULL
301	dizzy	aj0	201	NULL
334	stained	aj0	201	NULL
352	subsidiary	aj0	201	NULL
288	simplified	aj0	201	NULL
300	affordable	aj0	201	NULL
597	arctic	aj0	201	NULL
267	colder	ajc	201	NULL
266	self-sufficient	aj0	200	NULL
252	stern	aj0	200	NULL
325	subversive	aj0	200	NULL
243	sullen	aj0	200	NULL
263	rudimentary	aj0	200	NULL
256	resentful	aj0	200	NULL
229	sound	aj0	200	NULL
257	pompous	aj0	200	NULL
335	in-depth	aj0	200	NULL
459	hereditary	aj0	200	NULL
235	fanciful	aj0	200	NULL
292	perennial	aj0	200	NULL
320	named	aj0	200	NULL
234	new-found	aj0	199	NULL
242	promising	aj0	199	NULL
248	ardent	aj0	199	NULL
359	veteran	aj0	199	NULL
287	habitual	aj0	199	NULL
347	epic	aj0	199	NULL
444	divisional	aj0	198	NULL
455	floppy	aj0	198	NULL
273	cooler	ajc	198	NULL
244	neglected	aj0	198	NULL
359	norwegian	aj0	198	NULL
460	martial	aj0	198	NULL
272	irreversible	aj0	198	NULL
589	right-wing	aj0	198	NULL
299	phenomenal	aj0	198	NULL
615	socio-economic	aj0	198	NULL
342	trading	aj0	198	NULL
421	triangular	aj0	197	NULL
255	unkind	aj0	197	NULL
355	wooded	aj0	197	NULL
244	tenuous	aj0	197	NULL
234	lasting	aj0	197	NULL
275	famed	aj0	197	NULL
656	diagnostic	aj0	197	NULL
273	disused	aj0	197	NULL
324	covert	aj0	197	NULL
269	amazed	aj0	197	NULL
247	secretive	aj0	197	NULL
378	stationary	aj0	197	NULL
604	physiological	aj0	196	NULL
235	firmer	ajc	196	NULL
258	forbidding	aj0	196	NULL
271	illicit	aj0	196	NULL
285	uncontrolled	aj0	196	NULL
301	tranquil	aj0	196	NULL
240	accomplished	aj0	196	NULL
251	accumulated	aj0	196	NULL
233	all-important	aj0	196	NULL
359	contributory	aj0	196	NULL
353	creamy	aj0	196	NULL
249	confusing	aj0	195	NULL
698	cellular	aj0	195	NULL
228	adept	aj0	195	NULL
281	athletic	aj0	195	NULL
265	indignant	aj0	195	NULL
291	grubby	aj0	195	NULL
283	suggestive	aj0	195	NULL
250	token	aj0	195	NULL
262	unexplained	aj0	195	NULL
259	vile	aj0	195	NULL
272	enigmatic	aj0	194	NULL
377	festive	aj0	194	NULL
339	arid	aj0	194	NULL
1278	molecular	aj0	194	NULL
261	pleasurable	aj0	194	NULL
250	rampant	aj0	194	NULL
249	assembled	aj0	193	NULL
363	concurrent	aj0	193	NULL
1164	cognitive	aj0	193	NULL
287	unqualified	aj0	193	NULL
229	deceptive	aj0	193	NULL
229	hazy	aj0	193	NULL
242	one-time	aj0	193	NULL
427	left-wing	aj0	193	NULL
256	patchy	aj0	193	NULL
278	misty	aj0	192	NULL
269	noteworthy	aj0	192	NULL
297	usable	aj0	192	NULL
608	protestant	aj0	192	NULL
229	superfluous	aj0	192	NULL
273	californian	aj0	192	NULL
249	inconceivable	aj0	192	NULL
293	inert	aj0	192	NULL
224	fruitless	aj0	191	NULL
237	fullest	ajs	191	NULL
415	specialized	aj0	191	NULL
221	rife	aj0	191	NULL
276	rightful	aj0	191	NULL
404	pacific	aj0	191	NULL
232	murky	aj0	191	NULL
252	lame	aj0	191	NULL
462	unskilled	aj0	191	NULL
688	theological	aj0	191	NULL
312	cast	aj0	191	NULL
1061	accused	aj0	190	NULL
592	nursing	aj0	190	NULL
920	organizational	aj0	190	NULL
388	pastoral	aj0	190	NULL
320	grassy	aj0	190	NULL
486	forensic	aj0	190	NULL
230	imperative	aj0	190	NULL
391	entrepreneurial	aj0	190	NULL
258	deficient	aj0	190	NULL
398	supervisory	aj0	190	NULL
266	self-evident	aj0	190	NULL
342	sensual	aj0	190	NULL
214	unprepared	aj0	190	NULL
231	tiresome	aj0	190	NULL
388	waterproof	aj0	190	NULL
570	discretionary	aj0	189	NULL
539	handicapped	aj0	189	NULL
288	illustrated	aj0	189	NULL
290	boiled	aj0	189	NULL
279	inseparable	aj0	189	NULL
265	mischievous	aj0	189	NULL
214	respectful	aj0	189	NULL
612	polar	aj0	189	NULL
339	pious	aj0	188	NULL
319	stressful	aj0	188	NULL
252	protracted	aj0	188	NULL
255	airy	aj0	188	NULL
249	attentive	aj0	188	NULL
322	civilized	aj0	188	NULL
306	surviving	aj0	188	NULL
230	uncanny	aj0	188	NULL
227	unfolded	aj0	188	NULL
367	heavenly	aj0	188	NULL
315	lightweight	aj0	188	NULL
233	inspired	aj0	188	NULL
244	ongoing	aj0	188	NULL
391	organized	aj0	187	NULL
335	irritable	aj0	187	NULL
284	virgin	aj0	187	NULL
221	well-established	aj0	187	NULL
337	proprietary	aj0	187	NULL
237	quaint	aj0	187	NULL
232	rainy	aj0	187	NULL
234	aloof	aj0	187	NULL
265	baked	aj0	187	NULL
299	fried	aj0	187	NULL
243	grandiose	aj0	187	NULL
256	immortal	aj0	187	NULL
223	inescapable	aj0	187	NULL
214	enforced	aj0	187	NULL
294	emotive	aj0	186	NULL
401	immature	aj0	186	NULL
266	purposeful	aj0	186	NULL
499	rhythmic	aj0	186	NULL
361	militant	aj0	186	NULL
315	mini	aj0	186	NULL
305	patterned	aj0	186	NULL
269	measured	aj0	186	NULL
247	yearly	aj0	186	NULL
721	communist	aj0	186	NULL
450	collaborative	aj0	185	NULL
236	kindly	aj0	185	NULL
249	obtainable	aj0	185	NULL
701	penal	aj0	185	NULL
243	mindless	aj0	185	NULL
303	exploratory	aj0	185	NULL
244	ecstatic	aj0	185	NULL
258	ghostly	aj0	185	NULL
238	seductive	aj0	185	NULL
259	unidentified	aj0	185	NULL
228	unnamed	aj0	185	NULL
306	unpaid	aj0	185	NULL
244	unequivocal	aj0	184	NULL
278	toughest	ajs	184	NULL
228	distorted	aj0	184	NULL
305	complimentary	aj0	184	NULL
243	abortive	aj0	184	NULL
437	angular	aj0	184	NULL
234	horrendous	aj0	183	NULL
222	workable	aj0	183	NULL
216	strident	aj0	183	NULL
265	shrill	aj0	182	NULL
409	sovereign	aj0	182	NULL
238	idyllic	aj0	182	NULL
277	high-quality	aj0	182	NULL
249	fearsome	aj0	182	NULL
300	luminous	aj0	182	NULL
274	oily	aj0	182	NULL
219	unscrupulous	aj0	182	NULL
229	unwise	aj0	182	NULL
255	world-wide	aj0	181	NULL
219	touching	aj0	181	NULL
289	tacit	aj0	181	NULL
231	inconclusive	aj0	181	NULL
229	heaviest	ajs	181	NULL
297	endemic	aj0	181	NULL
299	commonest	ajs	181	NULL
495	said	aj0	181	NULL
411	reserve	aj0	181	NULL
223	stagnant	aj0	181	NULL
289	investigative	aj0	181	NULL
228	inventive	aj0	180	NULL
242	locked	aj0	180	NULL
240	compassionate	aj0	180	NULL
279	approximate	aj0	180	NULL
228	contemptuous	aj0	180	NULL
233	torn	aj0	180	NULL
392	tribal	aj0	180	NULL
219	unconnected	aj0	180	NULL
238	unhelpful	aj0	180	NULL
298	unmarked	aj0	180	NULL
244	fairer	ajc	180	NULL
286	disputed	aj0	180	NULL
245	distressing	aj0	180	NULL
325	predatory	aj0	180	NULL
275	sublime	aj0	179	NULL
209	resilient	aj0	179	NULL
278	lofty	aj0	179	NULL
374	missionary	aj0	179	NULL
232	mythical	aj0	179	NULL
428	convertible	aj0	179	NULL
265	distraught	aj0	179	NULL
248	hired	aj0	179	NULL
196	impenetrable	aj0	178	NULL
338	in-house	aj0	178	NULL
216	disgruntled	aj0	178	NULL
487	occupied	aj0	178	NULL
273	mechanic	aj0	178	NULL
357	mexican	aj0	178	NULL
193	unheard	aj0	178	NULL
231	time-consuming	aj0	178	NULL
251	timeless	aj0	178	NULL
229	shameful	aj0	178	NULL
239	turning	aj0	177	NULL
238	tame	aj0	177	NULL
604	developmental	aj0	177	NULL
215	discarded	aj0	177	NULL
207	included	aj0	177	NULL
482	alpine	aj0	177	NULL
309	cosmetic	aj0	176	NULL
244	covered	aj0	176	NULL
359	archaic	aj0	176	NULL
207	undeniable	aj0	176	NULL
216	sluggish	aj0	176	NULL
229	rebellious	aj0	176	NULL
274	repressive	aj0	176	NULL
236	stricter	ajc	176	NULL
230	murderous	aj0	176	NULL
284	dearest	ajs	176	NULL
196	debatable	aj0	175	NULL
262	delayed	aj0	175	NULL
348	dishonest	aj0	175	NULL
584	feudal	aj0	175	NULL
231	indebted	aj0	175	NULL
617	sensory	aj0	175	NULL
222	regrettable	aj0	175	NULL
230	colossal	aj0	175	NULL
350	unconditional	aj0	175	NULL
210	unfounded	aj0	175	NULL
253	vibrant	aj0	175	NULL
683	volcanic	aj0	175	NULL
201	weakest	ajs	175	NULL
475	wee	aj0	175	NULL
323	symmetrical	aj0	175	NULL
228	mistaken	aj0	175	NULL
227	majestic	aj0	175	NULL
244	one-way	aj0	175	NULL
235	nicer	ajc	174	NULL
254	paradoxical	aj0	174	NULL
194	exacting	aj0	174	NULL
316	remedial	aj0	174	NULL
331	rented	aj0	174	NULL
241	faintest	ajs	173	NULL
210	apologetic	aj0	173	NULL
235	calculated	aj0	173	NULL
396	olive	aj0	173	NULL
209	unchallenged	aj0	173	NULL
222	visiting	aj0	173	NULL
357	acquired	aj0	172	NULL
258	pertinent	aj0	172	NULL
230	divided	aj0	172	NULL
220	emerging	aj0	172	NULL
583	geometric	aj0	172	NULL
629	graphical	aj0	172	NULL
239	needy	aj0	172	NULL
219	man-made	aj0	172	NULL
210	painstaking	aj0	171	NULL
271	recognizable	aj0	171	NULL
188	stranger	ajc	171	NULL
314	ritual	aj0	171	NULL
247	silvery	aj0	171	NULL
318	bogus	aj0	171	NULL
308	bony	aj0	170	NULL
229	adaptable	aj0	170	NULL
227	unwell	aj0	170	NULL
245	worldly	aj0	170	NULL
221	uncontrollable	aj0	170	NULL
254	macho	aj0	170	NULL
212	intractable	aj0	170	NULL
866	korean	aj0	170	NULL
242	intrusive	aj0	169	NULL
284	inverted	aj0	169	NULL
259	overhead	aj0	169	NULL
231	momentary	aj0	169	NULL
215	monotonous	aj0	169	NULL
225	sumptuous	aj0	169	NULL
200	quickest	ajs	169	NULL
222	pronounced	aj0	169	NULL
221	smelly	aj0	169	NULL
864	accounting	aj0	169	NULL
228	barefoot	aj0	169	NULL
213	born	aj0	169	NULL
217	cracked	aj0	169	NULL
404	cubic	aj0	169	NULL
228	fluffy	aj0	169	NULL
217	frivolous	aj0	169	NULL
197	forlorn	aj0	168	NULL
239	shattered	aj0	168	NULL
222	sickening	aj0	168	NULL
361	prehistoric	aj0	168	NULL
229	wasted	aj0	168	NULL
251	measurable	aj0	168	NULL
475	observed	aj0	168	NULL
325	observable	aj0	167	NULL
186	interminable	aj0	167	NULL
228	undisclosed	aj0	167	NULL
267	guided	aj0	167	NULL
199	considerate	aj0	167	NULL
191	cramped	aj0	167	NULL
210	comprehensible	aj0	166	NULL
194	one-sided	aj0	166	NULL
564	modular	aj0	166	NULL
264	shady	aj0	166	NULL
218	forbidden	aj0	166	NULL
274	earthly	aj0	166	NULL
289	fluorescent	aj0	165	NULL
232	unorthodox	aj0	165	NULL
213	self-contained	aj0	165	NULL
214	priceless	aj0	165	NULL
279	punitive	aj0	165	NULL
244	readable	aj0	164	NULL
218	received	aj0	164	NULL
257	skinny	aj0	164	NULL
276	posh	aj0	164	NULL
398	self-employed	aj0	164	NULL
207	seminal	aj0	164	NULL
276	fragrant	aj0	164	NULL
243	disturbed	aj0	164	NULL
212	falling	aj0	164	NULL
213	illogical	aj0	164	NULL
242	numb	aj0	164	NULL
230	onerous	aj0	164	NULL
216	unseen	aj0	164	NULL
