n1	text	pos	n2	itext
1038	clarity	nn1	597	NULL
2334	researchers	nn2	597	NULL
1986	declaration	nn1	597	NULL
1708	manufacturer	nn1	596	NULL
1321	proposition	nn1	596	NULL
2736	frequency	nn1	596	NULL
1030	courtesy	nn1	596	NULL
5901	user	nn1	595	NULL
1118	array	nn1	595	NULL
1530	acres	nn2	595	NULL
1346	fraction	nn1	595	NULL
1478	enquiry	nn1	594	NULL
2160	egg	nn1	593	NULL
1121	inclusion	nn1	593	NULL
1591	supervision	nn1	593	NULL
2376	islands	nn2	593	NULL
2030	force	nn0	592	NULL
2758	employee	nn1	592	NULL
1571	fellow	nn1	592	NULL
1747	constraints	nn2	592	NULL
2622	rocks	nn2	592	NULL
2616	nurse	nn1	591	NULL
2226	consumers	nn2	591	NULL
1549	columns	nn2	590	NULL
1170	characteristic	nn1	590	NULL
1593	dialogue	nn1	590	NULL
1425	fool	nn1	590	NULL
1893	keys	nn2	590	NULL
1483	label	nn1	589	NULL
1286	journalist	nn1	589	NULL
991	gaps	nn2	589	NULL
1754	producers	nn2	588	NULL
1818	accidents	nn2	588	NULL
2072	bathroom	nn1	587	NULL
1830	initiatives	nn2	587	NULL
1017	wonder	nn1	587	NULL
3034	earnings	nn2	587	NULL
5155	cabinet	nn0	587	NULL
2124	palace	nn1	587	NULL
3263	paintings	nn2	586	NULL
1206	accent	nn1	586	NULL
7471	studio	nn1	586	NULL
2590	taxes	nn2	585	NULL
4921	organization	nn1	584	NULL
1052	failures	nn2	584	NULL
1849	farmer	nn1	584	NULL
1240	shelter	nn1	584	NULL
1112	recommendation	nn1	584	NULL
1894	restoration	nn1	583	NULL
1162	rumours	nn2	583	NULL
1286	square	nn1	583	NULL
1253	lengths	nn2	583	NULL
1675	signals	nn2	582	NULL
2876	prince	nn1	582	NULL
1619	muscle	nn1	582	NULL
1067	portion	nn1	582	NULL
1011	heels	nn2	582	NULL
1151	distress	nn1	582	NULL
1923	muscles	nn2	581	NULL
1066	stroke	nn1	581	NULL
1640	rows	nn2	581	NULL
2389	cottage	nn1	581	NULL
1667	cheek	nn1	580	NULL
1372	adviser	nn1	580	NULL
1737	suppliers	nn2	579	NULL
1297	shows	nn2	579	NULL
1596	engineer	nn1	579	NULL
1908	corridor	nn1	579	NULL
1190	commitments	nn2	579	NULL
1050	precision	nn1	579	NULL
2727	ratio	nn1	578	NULL
1805	discretion	nn1	578	NULL
1356	diversity	nn1	578	NULL
2198	draft	nn1	578	NULL
1196	episode	nn1	577	NULL
1302	stranger	nn1	577	NULL
1299	liberty	nn1	577	NULL
1809	register	nn1	577	NULL
1770	creatures	nn2	577	NULL
3134	conservation	nn1	576	NULL
1103	spots	nn2	576	NULL
1422	expert	nn1	576	NULL
1695	professor	nn1	576	NULL
2763	sentences	nn2	576	NULL
3126	golf	nn1	576	NULL
1308	gifts	nn2	575	NULL
1546	suicide	nn1	575	NULL
2500	certificate	nn1	575	NULL
948	admiration	nn1	575	NULL
1609	asset	nn1	575	NULL
1654	beings	nn2	574	NULL
1554	bench	nn1	574	NULL
1638	closure	nn1	574	NULL
993	outlook	nn1	574	NULL
1946	zone	nn1	574	NULL
1342	dimensions	nn2	574	NULL
1477	exploration	nn1	573	NULL
1670	networks	nn2	573	NULL
1783	paint	nn1	572	NULL
1143	objections	nn2	572	NULL
2036	cheese	nn1	572	NULL
2107	cigarette	nn1	571	NULL
1276	collar	nn1	571	NULL
1151	moves	nn2	571	NULL
4680	gentleman	nn1	571	NULL
1093	instinct	nn1	571	NULL
1715	grain	nn1	571	NULL
1193	fame	nn1	571	NULL
1415	execution	nn1	571	NULL
3486	democracy	nn1	571	NULL
1072	trap	nn1	570	NULL
1064	looks	nn2	570	NULL
961	encounter	nn1	569	NULL
1655	innovation	nn1	569	NULL
1671	interviews	nn2	569	NULL
1127	fortnight	nn1	568	NULL
2257	evolution	nn1	568	NULL
2002	charter	nn1	568	NULL
1858	obligations	nn2	568	NULL
1704	advisers	nn2	568	NULL
2411	surgery	nn1	568	NULL
1445	spectrum	nn1	568	NULL
2033	registration	nn1	568	NULL
2897	prisoners	nn2	568	NULL
1673	producer	nn1	568	NULL
1650	vegetables	nn2	568	NULL
984	enjoyment	nn1	567	NULL
1446	tourists	nn2	567	NULL
1544	estimates	nn2	566	NULL
991	advances	nn2	566	NULL
1299	assurance	nn1	566	NULL
1250	gain	nn1	565	NULL
1219	incentive	nn1	565	NULL
1586	medium	nn1	565	NULL
1684	designer	nn1	565	NULL
2445	cattle	nn2	564	NULL
1953	mechanisms	nn2	564	NULL
1070	depths	nn2	563	NULL
2282	coach	nn1	563	NULL
1049	sunshine	nn1	563	NULL
996	privacy	nn1	563	NULL
1350	observers	nn2	562	NULL
1096	destination	nn1	562	NULL
1201	fantasy	nn1	562	NULL
2627	evaluation	nn1	562	NULL
1675	cousin	nn1	562	NULL
1208	citizen	nn1	561	NULL
2528	samples	nn2	561	NULL
1741	entries	nn2	561	NULL
1034	pains	nn2	561	NULL
1215	nerve	nn1	561	NULL
903	glimpse	nn1	560	NULL
1727	taxi	nn1	560	NULL
1191	sunlight	nn1	559	NULL
1937	allowance	nn1	559	NULL
979	ambitions	nn2	559	NULL
1504	widow	nn1	559	NULL
1900	winners	nn2	559	NULL
1194	continuity	nn1	559	NULL
1919	estates	nn2	559	NULL
836	doing	nn1	559	NULL
1171	shelf	nn1	559	NULL
1631	wool	nn1	558	NULL
1322	makers	nn2	558	NULL
1128	lovers	nn2	558	NULL
1246	grief	nn1	558	NULL
3433	pension	nn1	557	NULL
1423	motivation	nn1	557	NULL
2474	penalty	nn1	556	NULL
3272	pollution	nn1	556	NULL
920	simplicity	nn1	556	NULL
1989	prayer	nn1	555	NULL
1137	roll	nn1	554	NULL
1281	leave	nn1	554	NULL
1777	boundary	nn1	554	NULL
1244	campaigns	nn2	554	NULL
846	convenience	nn1	553	NULL
1428	stocks	nn2	553	NULL
1110	tales	nn2	553	NULL
